Region,Brand,SKU,Net_Price,Promotion_Spend
NORTHEAST,BrandB,BrandB_SKU1,79.88495215855201,10926.2886312166
METRO_DELHI,BrandB,BrandB_SKU1,78.92016471884095,9780.253121705844
SOUTH,BrandB,BrandB_SKU1,73.98104433825768,23624.1925083732
EAST,BrandB,BrandB_SKU2,74.34230178149221,67771.59058282511
EAST,BrandB,BrandB_SKU1,65.7987984580237,74301.97315545582
NORTH,BrandB,BrandB_SKU3,87.11750374523616,105782.05682945902
SOUTH,BrandB,BrandB_SKU3,85.39376195794404,82338.2014282862
NORTHEAST,BrandB,BrandB_SKU3,87.2029885408192,131594.32762227376
NORTH,BrandB,BrandB_SKU3,85.67717630971725,82598.75827036897
METRO_MUMBAI,BrandB,BrandB_SKU1,74.83207554012316,35057.53438134213
NORTH,BrandB,BrandB_SKU1,69.70409589789782,117165.18810974831
EAST,BrandB,BrandB_SKU3,70.86371867822335,185049.04928146364
NORTH,BrandB,BrandB_SKU2,75.81474499492052,162137.9705154862
NORTH,BrandB,BrandB_SKU3,87.7190623881809,17147.503459544114
WEST,BrandB,BrandB_SKU2,81.64989926958373,89983.64529604383
EAST,BrandB,BrandB_SKU2,66.68295928118663,74301.97315545582
METRO_DELHI,BrandB,BrandB_SKU2,83.82216951158884,13074.361570794374
METRO_MUMBAI,BrandB,BrandB_SKU3,80.54640413374104,10627.767291453772
WEST,BrandB,BrandB_SKU2,81.09213177994378,18189.33261822434
METRO_DELHI,BrandB,BrandB_SKU3,73.75894014345147,11869.085220864392
METRO_DELHI,BrandB,BrandB_SKU2,82.69054357045984,84371.19502403826
SOUTH,BrandB,BrandB_SKU2,86.36044537876343,41322.252863369744
METRO_MUMBAI,BrandB,BrandB_SKU3,83.5768750520602,35057.53438134213
EAST,BrandB,BrandB_SKU2,75.32563219184732,11476.539087308674
WEST,BrandB,BrandB_SKU2,74.78750321743654,425132.4404712096
NORTH,BrandB,BrandB_SKU3,87.36370134475634,17903.133479454347
EAST,BrandB,BrandB_SKU3,72.17464680458025,76939.21454737811
NORTHEAST,BrandB,BrandB_SKU3,76.7450977497601,60064.321422323184
NORTHEAST,BrandB,BrandB_SKU2,79.71878600143076,10029.30603102308
NORTHEAST,BrandB,BrandB_SKU2,68.60420737788553,262872.33624023694
SOUTH,BrandB,BrandB_SKU1,63.21107129445751,117785.84306040022
NORTH,BrandB,BrandB_SKU2,84.0215669857268,104300.989158266
EAST,BrandB,BrandB_SKU2,75.17060819715842,56580.48833099025
NORTH,BrandB,BrandB_SKU2,84.74720953727156,99823.90872567322
CENTRAL,BrandB,BrandB_SKU3,79.1172009254002,151045.520488174
NORTH,BrandB,BrandB_SKU1,78.79043596072341,17399.18643642087
NORTHEAST,BrandB,BrandB_SKU3,87.1479701441077,10434.017391046593
METRO_MUMBAI,BrandB,BrandB_SKU3,81.9929684444282,10101.455832899244
NORTH,BrandB,BrandB_SKU1,68.64094995382646,111179.55221337471
EAST,BrandB,BrandB_SKU1,72.33462947489683,8805.980168118267
SOUTH,BrandB,BrandB_SKU1,74.75671362779751,95268.2572268996
WEST,BrandB,BrandB_SKU3,72.5559089957599,18172.889699281022
NORTH,BrandB,BrandB_SKU1,78.63760717272041,23424.81170042988
METRO_DELHI,BrandB,BrandB_SKU3,73.80797741740365,11674.549133285616
NORTH,BrandB,BrandB_SKU3,86.3181557152749,18935.233399306733
NORTHEAST,BrandB,BrandB_SKU1,81.58570036807936,5326.099777058215
NORTHEAST,BrandB,BrandB_SKU2,80.77131872070953,10356.700536258148
EAST,BrandB,BrandB_SKU2,75.49209669334503,9965.963958258675
NORTH,BrandB,BrandB_SKU2,85.52389099361784,17147.503459544114
WEST,BrandB,BrandB_SKU1,73.33507501927028,15552.518982365122
CENTRAL,BrandB,BrandB_SKU1,75.95445171300898,11656.42323960548
